Character,Experience,HP Increase,MP Increase,SP Increase,Strength Increase,Vitality Increase,Action Increase,Movement Increase,Magic Increase,Mentality Increase,Skillslot Increase
Ryudo,0,295,62,89,80,65,74,68,52,63,0
Ryudo,12,3,0,1,0,0,0,1,0,0,0
Ryudo,30,6,0,0,0,0,1,0,0,0,0
Ryudo,56,9,0,0,0,0,0,0,0,0,0
Ryudo,92,12,0,1,1,0,0,1,0,0,0
Ryudo,140,16,1,1,1,1,0,0,0,1,0
Ryudo,202,18,1,1,1,1,1,0,1,1,0
Ryudo,281,21,1,1,1,1,0,1,1,1,0
Ryudo,379,23,1,1,2,1,0,0,1,1,0
Ryudo,496,26,1,1,1,1,0,0,1,1,0
Ryudo,634,29,1,2,1,2,0,1,1,1,1
Ryudo,798,31,1,2,2,1,1,0,1,1,0
Ryudo,991,34,2,2,2,2,0,0,2,2,0
Ryudo,1213,36,1,2,2,1,1,0,1,1,0
Ryudo,1479,39,1,2,2,2,1,0,1,1,0
Ryudo,1794,41,2,2,2,2,0,0,1,2,0
Ryudo,2159,43,2,2,2,2,0,0,1,2,0
Ryudo,2584,45,2,2,2,2,0,1,1,2,0
Ryudo,3064,48,2,3,2,2,0,1,1,2,0
Ryudo,3604,50,2,3,3,2,0,1,2,2,0
Ryudo,4200,51,2,3,3,2,1,0,2,2,1
Ryudo,4864,53,2,3,3,2,1,0,2,3,0
Ryudo,5587,55,2,4,3,2,0,1,2,2,0
Ryudo,6385,57,3,4,3,2,0,1,2,2,0
Ryudo,7254,59,2,3,4,2,0,1,2,2,0
Ryudo,8205,60,3,3,3,2,0,1,2,2,0
Ryudo,9236,61,2,3,3,3,0,1,2,3,0
Ryudo,10364,63,3,4,3,3,0,1,3,2,0
Ryudo,11604,64,2,4,4,3,0,0,2,3,0
Ryudo,12961,65,3,4,3,3,0,0,2,3,0
Ryudo,14453,67,3,4,3,3,1,1,2,3,1
Ryudo,16079,68,3,4,3,3,0,1,2,3,0
Ryudo,17859,69,3,4,4,3,1,1,2,3,0
Ryudo,19808,70,3,5,4,3,0,1,2,3,0
Ryudo,21903,71,3,4,4,3,0,0,2,3,0
Ryudo,24144,72,3,5,4,3,0,0,2,3,0
Ryudo,26530,73,3,4,4,3,1,0,3,3,0
Ryudo,29047,74,3,4,4,3,1,1,2,4,0
Ryudo,31677,76,3,4,4,3,1,0,3,3,0
Ryudo,34438,76,3,4,4,4,1,0,2,3,0
Ryudo,37309,76,3,5,4,3,1,0,2,4,1
Ryudo,40280,78,4,5,4,3,1,0,3,3,0
Ryudo,43340,77,3,4,4,3,1,0,3,3,0
Ryudo,46507,78,3,4,4,3,1,0,3,3,0
Ryudo,49800,79,3,5,5,3,1,0,3,3,0
Ryudo,53274,79,3,5,5,3,1,0,3,4,0
Ryudo,56973,79,3,4,4,4,1,0,3,4,0
Ryudo,60893,79,3,4,4,3,1,0,3,4,0
Ryudo,65087,79,4,4,4,4,1,1,3,3,0
Ryudo,69637,80,3,5,5,3,1,0,3,3,0
Ryudo,74642,80,4,5,4,3,1,1,3,4,1
Ryudo,80197,80,4,5,5,3,1,1,3,3,0
Ryudo,86418,80,3,4,4,4,1,0,3,3,0
Ryudo,93416,79,4,4,5,3,1,1,3,3,0
Ryudo,101253,79,3,4,4,3,1,1,3,3,0
Ryudo,110187,79,3,5,5,3,1,1,3,4,0
Ryudo,120461,78,3,4,4,4,1,0,3,4,0
Ryudo,132481,78,3,4,4,3,1,0,3,3,0
Ryudo,146424,77,3,4,4,3,1,1,3,3,0
Ryudo,162876,77,3,4,4,3,1,1,3,3,0
Ryudo,181960,77,3,5,4,3,1,1,2,3,1
Ryudo,204383,76,4,4,4,3,1,1,2,3,0
Ryudo,231178,75,3,5,4,3,1,0,2,3,0
Ryudo,263332,74,3,4,4,3,1,0,2,3,0
Ryudo,301756,73,3,5,4,4,1,0,2,3,0
Ryudo,347864,72,3,4,4,4,1,1,2,3,0
Ryudo,402963,71,3,4,4,3,1,0,3,3,0
Ryudo,468415,70,3,4,4,3,1,0,2,3,0
Ryudo,533950,70,3,4,3,3,0,0,2,3,0
Ryudo,599485,68,3,4,3,3,0,1,3,3,0
Ryudo,665020,67,3,4,3,3,0,1,3,3,0
Ryudo,730555,66,3,4,3,3,0,1,2,3,0
Ryudo,796090,64,2,4,3,3,1,1,3,3,0
Ryudo,861625,63,3,4,3,3,0,0,2,3,0
Ryudo,927160,61,3,3,3,3,1,0,2,2,0
Ryudo,992695,60,2,4,3,2,0,0,2,2,0
Ryudo,1058230,59,2,3,4,2,0,1,2,3,0
Ryudo,1123765,56,3,3,3,2,0,0,2,3,0
Ryudo,1189300,55,2,3,3,2,0,1,2,2,0
Ryudo,1254835,53,2,3,3,2,1,0,2,2,0
Ryudo,1320370,51,2,3,3,3,0,0,2,2,0
Ryudo,1385905,50,2,3,3,3,0,1,2,2,0
Ryudo,1451440,47,2,3,3,2,0,1,1,2,0
Ryudo,1516975,45,2,2,2,2,0,0,2,2,0
Ryudo,1582510,43,2,3,2,2,0,0,1,2,0
Ryudo,1648045,41,2,3,3,2,0,0,2,2,0
Ryudo,1713580,38,1,2,2,2,0,1,1,1,0
Ryudo,1779115,36,1,2,2,1,0,1,1,1,0
Ryudo,1844650,34,1,2,2,1,0,0,1,1,0
Ryudo,1910185,31,1,2,2,1,0,1,1,2,0
Ryudo,1975720,29,1,2,1,1,0,1,1,2,0
Ryudo,2041255,26,2,1,1,2,0,0,1,1,0
Ryudo,2106790,23,1,1,1,1,1,0,1,1,0
Ryudo,2172325,21,1,2,2,1,0,1,1,1,0
Ryudo,2237860,18,1,2,1,1,0,1,1,1,0
Ryudo,2303395,16,1,1,1,1,0,1,0,1,0
Ryudo,2368930,12,0,1,1,0,1,0,0,0,0
Ryudo,2434465,9,0,0,1,1,0,0,0,0,0
Ryudo,2500000,6,0,1,0,0,0,1,0,0,0
Elena,0,174,104,110,41,45,62,57,88,90,0
Elena,12,2,0,0,0,0,0,1,0,1,0
Elena,30,4,1,0,1,0,0,0,0,0,0
Elena,56,6,1,1,0,0,0,1,1,0,0
Elena,92,8,1,1,0,0,0,0,1,1,0
Elena,140,9,2,2,0,0,0,0,1,1,0
Elena,202,11,1,1,1,0,1,0,1,1,0
Elena,281,12,1,1,0,1,1,0,1,1,0
Elena,379,14,1,2,1,1,0,0,1,1,0
Elena,496,16,2,2,1,1,0,1,1,1,0
Elena,634,17,2,3,1,1,0,1,2,2,1
Elena,798,18,2,2,1,1,1,1,2,2,0
Elena,991,20,2,2,1,1,0,0,2,2,0
Elena,1213,21,2,2,1,1,1,0,2,2,0
Elena,1479,23,2,3,1,1,1,1,2,3,0
Elena,1794,24,3,3,1,1,0,0,2,2,0
Elena,2159,25,3,4,1,2,0,0,2,2,0
Elena,2584,26,3,3,2,1,1,1,2,3,0
Elena,3064,28,3,3,1,2,0,1,3,3,0
Elena,3604,29,4,3,1,1,1,1,3,3,0
Elena,4200,30,3,4,1,1,0,0,3,3,1
Elena,4864,31,3,4,2,1,0,0,3,3,0
Elena,5587,32,4,4,1,1,0,1,3,3,0
Elena,6385,34,4,4,1,2,0,0,3,4,0
Elena,7254,34,4,4,2,2,0,1,3,4,0
Elena,8205,35,4,4,1,2,0,0,3,4,0
Elena,9236,36,4,5,1,2,0,0,3,4,0
Elena,10364,37,4,4,2,2,1,0,3,4,0
Elena,11604,38,5,4,2,2,0,0,4,4,0
Elena,12961,39,5,5,2,2,0,1,4,4,0
Elena,14453,39,5,5,2,2,1,1,4,4,1
Elena,16079,40,5,5,2,2,1,0,4,4,0
Elena,17859,41,5,5,2,3,0,1,4,4,0
Elena,19808,42,5,5,2,2,0,0,4,4,0
Elena,21903,42,5,6,2,2,0,1,5,4,0
Elena,24144,43,5,5,2,2,0,0,4,5,0
Elena,26530,44,5,6,2,2,1,0,4,4,0
Elena,29047,44,5,6,2,2,0,0,4,5,0
Elena,31677,44,5,5,2,2,0,1,4,4,0
Elena,34438,45,6,5,2,2,0,0,4,5,0
Elena,37309,46,5,5,2,2,1,0,4,4,1
Elena,40280,45,5,5,2,3,0,0,4,4,0
Elena,43340,46,5,5,2,2,0,1,4,5,0
Elena,46507,46,5,5,2,3,1,0,4,5,0
Elena,49800,47,5,5,3,3,0,1,4,4,0
Elena,53274,46,5,5,2,2,0,0,4,5,0
Elena,56973,47,5,6,2,2,0,0,4,5,0
Elena,60893,47,5,6,3,2,0,0,5,5,0
Elena,65087,47,5,6,2,2,1,0,4,5,0
Elena,69637,47,5,6,2,3,1,1,4,5,0
Elena,74642,47,5,6,3,2,0,1,4,5,1
Elena,80197,48,5,6,2,3,1,0,4,5,0
Elena,86418,47,5,6,2,2,1,1,4,5,0
Elena,93416,47,5,6,2,3,1,1,4,5,0
Elena,101253,47,5,6,2,2,1,1,5,5,0
Elena,110187,46,5,5,3,2,1,0,4,5,0
Elena,120461,46,6,5,2,2,0,0,4,4,0
Elena,132481,46,5,5,3,2,1,1,4,4,0
Elena,146424,46,5,5,2,2,1,1,4,5,0
Elena,162876,45,5,6,2,2,0,0,4,4,0
Elena,181960,46,5,5,2,2,1,0,5,4,1
Elena,204383,45,6,6,2,2,1,1,4,4,0
Elena,231178,45,5,5,2,2,0,1,4,5,0
Elena,263332,44,6,5,2,2,1,1,4,5,0
Elena,301756,43,5,6,2,3,0,1,4,4,0
Elena,347864,43,5,5,2,3,1,0,4,4,0
Elena,402963,42,5,5,2,2,1,0,5,5,0
Elena,468415,42,5,5,2,2,1,1,4,4,0
Elena,533950,41,5,5,2,2,0,1,4,4,0
Elena,599485,40,5,5,2,2,0,0,4,4,0
Elena,665020,39,4,5,2,2,0,1,4,4,0
Elena,730555,39,4,5,2,2,1,0,4,4,0
Elena,796090,38,4,5,2,2,1,0,4,4,0
Elena,861625,37,4,4,2,2,0,0,3,4,0
Elena,927160,36,4,4,1,2,0,1,3,3,0
Elena,992695,35,4,4,1,2,0,1,3,4,0
Elena,1058230,35,4,4,2,2,1,0,4,3,0
Elena,1123765,33,4,4,1,2,0,1,4,3,0
Elena,1189300,32,4,4,1,1,0,0,3,3,0
Elena,1254835,31,4,4,1,1,0,1,3,3,0
Elena,1320370,30,4,4,1,1,1,1,3,3,0
Elena,1385905,29,4,3,2,1,1,0,3,3,0
Elena,1451440,28,4,4,1,1,0,0,3,3,0
Elena,1516975,26,3,3,1,1,1,0,3,3,0
Elena,1582510,25,3,3,1,1,0,1,2,2,0
Elena,1648045,24,3,3,1,1,1,0,2,3,0
Elena,1713580,23,2,3,1,1,0,0,3,2,0
Elena,1779115,21,3,3,1,1,1,1,2,2,0
Elena,1844650,20,3,3,1,1,0,0,2,2,0
Elena,1910185,18,3,2,1,1,0,1,2,2,0
Elena,1975720,17,2,3,1,1,0,1,2,2,0
Elena,2041255,15,2,2,1,1,0,0,2,1,0
Elena,2106790,14,2,2,1,1,0,1,1,1,0
Elena,2172325,13,2,1,1,1,0,0,2,1,0
Elena,2237860,11,2,1,0,1,1,0,1,1,0
Elena,2303395,9,1,1,0,0,0,0,1,1,0
Elena,2368930,8,1,1,0,0,0,1,1,1,0
Elena,2434465,5,1,1,0,0,1,0,0,0,0
Elena,2500000,4,0,0,0,0,0,0,0,0,0
Millenia,0,214,85,65,58,38,86,97,87,53,0
Millenia,12,2,0,0,0,0,0,0,1,0,0
Millenia,30,4,1,0,0,1,0,0,0,1,0
Millenia,56,7,0,0,0,0,1,1,0,1,0
Millenia,92,9,1,0,0,1,0,0,1,0,0
Millenia,140,11,1,1,0,0,0,0,1,0,0
Millenia,202,13,1,1,1,0,0,0,1,1,0
Millenia,281,15,1,1,1,0,1,1,2,1,0
Millenia,379,18,1,1,1,0,1,0,1,1,0
Millenia,496,19,1,2,1,1,0,1,1,1,0
Millenia,634,21,2,1,2,1,0,0,2,1,1
Millenia,798,23,2,2,1,1,0,0,2,1,0
Millenia,991,24,2,1,2,1,0,0,2,1,0
Millenia,1213,26,2,1,1,1,0,0,3,1,0
Millenia,1479,28,2,2,1,1,0,0,2,1,0
Millenia,1794,29,2,2,1,1,0,0,2,1,0
Millenia,2159,32,2,2,2,1,0,0,3,1,0
Millenia,2584,33,2,2,2,1,0,0,2,1,0
Millenia,3064,35,3,2,2,1,0,0,3,2,0
Millenia,3604,36,3,3,2,1,0,0,3,2,0
Millenia,4200,38,3,2,2,1,0,0,3,2,1
Millenia,4864,39,3,2,2,1,0,0,3,2,0
Millenia,5587,40,4,2,2,1,1,0,3,2,0
Millenia,6385,41,3,2,2,1,0,1,3,2,0
Millenia,7254,42,3,3,3,1,0,1,3,2,0
Millenia,8205,43,3,2,2,1,0,1,3,3,0
Millenia,9236,44,3,2,3,2,0,1,3,3,0
Millenia,10364,46,4,3,3,2,0,1,3,2,0
Millenia,11604,47,3,3,2,1,1,1,4,2,0
Millenia,12961,48,4,3,2,2,1,1,4,3,0
Millenia,14453,49,4,3,2,2,1,1,4,2,1
Millenia,16079,49,4,3,2,2,1,1,4,2,0
Millenia,17859,50,4,3,3,2,1,1,4,2,0
Millenia,19808,51,4,3,3,2,1,1,4,2,0
Millenia,21903,52,4,3,3,2,1,1,4,2,0
Millenia,24144,53,4,4,3,2,1,1,4,2,0
Millenia,26530,53,4,3,3,2,1,1,5,2,0
Millenia,29047,54,5,3,3,2,1,1,4,2,0
Millenia,31677,55,4,3,3,2,1,1,4,2,0
Millenia,34438,55,4,3,3,2,1,1,5,3,0
Millenia,37309,56,4,3,3,2,1,1,4,3,1
Millenia,40280,56,4,3,3,2,1,1,4,3,0
Millenia,43340,56,5,3,3,2,1,1,4,3,0
Millenia,46507,57,5,3,3,2,1,1,4,3,0
Millenia,49800,57,4,3,3,2,1,1,4,3,0
Millenia,53274,57,4,4,3,2,1,1,4,3,0
Millenia,56973,57,4,3,3,2,1,1,4,3,0
Millenia,60893,58,5,3,3,2,1,1,4,3,0
Millenia,65087,58,4,3,3,2,1,1,4,3,0
Millenia,69637,58,5,3,3,2,1,1,4,3,0
Millenia,74642,58,4,4,3,2,1,1,5,3,1
Millenia,80197,58,5,3,3,2,1,1,4,3,0
Millenia,86418,58,4,3,3,2,1,1,4,3,0
Millenia,93416,58,5,4,3,2,1,1,4,3,0
Millenia,101253,57,4,4,3,2,1,1,4,3,0
Millenia,110187,57,5,3,3,2,1,1,4,3,0
Millenia,120461,57,4,3,3,2,1,1,5,3,0
Millenia,132481,57,4,4,3,2,1,1,4,3,0
Millenia,146424,56,5,4,3,2,1,1,4,3,0
Millenia,162876,56,4,3,3,2,1,1,4,3,0
Millenia,181960,56,4,4,3,2,1,1,4,3,1
Millenia,204383,55,4,3,3,2,1,1,5,3,0
Millenia,231178,55,4,3,3,2,1,1,4,3,0
Millenia,263332,54,5,4,3,2,1,1,4,2,0
Millenia,301756,53,4,3,3,2,1,1,4,2,0
Millenia,347864,53,4,3,3,2,1,1,4,2,0
Millenia,402963,52,4,3,3,2,1,1,4,2,0
Millenia,468415,51,4,3,3,2,1,1,4,2,0
Millenia,533950,50,4,3,3,2,1,1,4,2,0
Millenia,599485,49,4,3,2,2,1,1,4,3,0
Millenia,665020,49,4,3,2,2,1,1,4,2,0
Millenia,730555,48,4,3,2,2,1,1,4,2,0
Millenia,796090,47,3,3,2,1,1,1,4,2,0
Millenia,861625,46,4,3,2,2,1,1,4,2,0
Millenia,927160,44,4,3,2,1,0,1,3,2,0
Millenia,992695,44,3,2,2,1,0,1,3,2,0
Millenia,1058230,42,3,2,2,1,0,1,3,2,0
Millenia,1123765,41,3,3,3,1,0,1,4,2,0
Millenia,1189300,40,4,2,2,2,0,0,4,2,0
Millenia,1254835,38,3,2,2,2,1,1,3,2,0
Millenia,1320370,37,3,2,2,2,1,0,3,2,0
Millenia,1385905,36,3,2,2,1,0,0,3,2,0
Millenia,1451440,34,2,2,2,1,0,0,3,2,0
Millenia,1516975,33,3,2,2,1,0,0,3,1,0
Millenia,1582510,31,2,2,2,1,0,0,3,1,0
Millenia,1648045,30,2,2,1,1,0,0,2,2,0
Millenia,1713580,28,3,2,2,1,0,0,2,1,0
Millenia,1779115,26,2,1,2,1,1,0,3,2,0
Millenia,1844650,25,2,2,1,1,0,1,2,2,0
Millenia,1910185,23,2,1,1,1,1,0,2,2,0
Millenia,1975720,21,2,1,1,1,0,0,2,1,0
Millenia,2041255,19,2,1,1,1,1,0,1,1,0
Millenia,2106790,17,1,1,1,0,1,0,2,1,0
Millenia,2172325,15,2,1,1,0,0,0,1,1,0
Millenia,2237860,13,1,1,1,1,0,0,1,1,0
Millenia,2303395,12,1,1,0,0,1,1,1,0,0
Millenia,2368930,9,1,0,0,0,0,1,1,0,0
Millenia,2434465,7,0,0,0,0,0,0,0,1,0
Millenia,2500000,4,0,0,0,0,1,0,0,0,0
Roan,0,174,62,65,80,56,98,79,72,73,0
Roan,12,2,0,1,1,0,0,0,0,1,0
Roan,30,4,0,0,0,0,1,1,0,0,0
Roan,56,6,0,1,1,0,0,1,1,1,0
Roan,92,7,0,1,1,0,0,1,1,0,0
Roan,140,9,1,1,1,0,0,1,1,1,0
Roan,202,11,1,1,1,1,0,0,1,1,0
Roan,281,13,1,1,2,1,0,0,1,1,0
Roan,379,14,1,1,1,1,0,0,2,2,0
Roan,496,15,1,1,1,1,0,0,1,2,0
Roan,634,17,2,1,1,1,0,0,1,1,1
Roan,798,18,1,1,2,1,0,0,1,1,0
Roan,991,20,2,2,2,1,1,0,1,2,0
Roan,1213,22,1,1,2,2,0,0,2,2,0
Roan,1479,23,1,2,2,1,0,1,2,2,0
Roan,1794,24,2,2,2,1,0,0,2,2,0
Roan,2159,25,2,2,3,1,1,0,2,2,0
Roan,2584,26,2,2,3,2,1,0,2,2,0
Roan,3064,28,2,2,3,2,1,0,2,3,0
Roan,3604,29,2,2,2,2,0,1,2,2,0
Roan,4200,30,2,3,3,2,0,0,2,2,1
Roan,4864,32,2,2,3,2,0,0,3,2,0
Roan,5587,32,2,2,3,2,0,0,2,3,0
Roan,6385,33,3,2,3,2,1,0,3,3,0
Roan,7254,34,2,3,3,2,1,1,3,3,0
Roan,8205,36,3,2,3,2,1,0,3,3,0
Roan,9236,36,2,2,3,2,1,0,3,3,0
Roan,10364,37,2,3,3,2,1,0,3,3,0
Roan,11604,38,2,3,3,2,1,0,3,3,0
Roan,12961,39,3,3,3,2,1,0,3,3,0
Roan,14453,39,3,3,3,3,1,0,3,3,1
Roan,16079,41,3,3,3,3,1,0,4,3,0
Roan,17859,41,3,3,4,3,1,1,3,4,0
Roan,19808,42,3,3,4,2,1,1,4,3,0
Roan,21903,42,3,3,4,2,1,1,3,4,0
Roan,24144,43,3,3,4,3,1,1,3,3,0
Roan,26530,44,3,3,4,3,1,1,4,4,0
Roan,29047,44,3,3,4,3,1,1,3,3,0
Roan,31677,44,3,3,4,3,1,1,3,3,0
Roan,34438,45,4,3,4,3,1,1,3,4,0
Roan,37309,45,3,4,4,3,1,1,3,4,1
Roan,40280,46,3,3,4,3,1,1,3,4,0
Roan,43340,46,3,4,4,3,1,1,4,4,0
Roan,46507,46,3,3,5,3,1,1,4,4,0
Roan,49800,46,3,4,4,3,1,1,4,4,0
Roan,53274,46,3,3,4,3,1,1,4,4,0
Roan,56973,47,3,3,5,3,1,1,4,4,0
Roan,60893,47,3,4,4,3,1,1,4,4,0
Roan,65087,47,4,3,4,3,1,1,4,4,0
Roan,69637,47,3,3,4,3,1,1,4,4,0
Roan,74642,47,4,4,5,3,1,1,4,4,1
Roan,80197,47,3,3,5,3,1,1,4,4,0
