Name,Cost Type #1,Cost Type #2,Base HP,Base MP,Base SP,Base Strength,Base Vitality,Base Action,Base Movement,Base Magic,Base Mentality,Unknown #1,Unknown #2,Unknown #3,Unknown #4,Unknown #5,Increase Fire %,Increase Wind %,Increase Earth %,Increase Lightning %,Increase Blizzard %,Increase Water %,Increase Explosion %,Increase Forest %,Special,Coin Cost Lv1,Coin Cost Lv2,Coin Cost Lv3,Coin Cost Lv4,Coin Cost Lv5,Multiplier,Description
,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Life Up,Special Coins,Special Coins,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,200,+25 to +400 Maximum HP
Magic Power,Magic Coins,Magic Coins,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 Maximum MP
Special Power,Special Coins,Special Coins,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 Maximum SP
Strength,Special Coins,Special Coins,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 STR
Toughness,Special Coins,Special Coins,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 VIT
Speed,Special Coins,Special Coins,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 AGI
Dash,Special Coins,Special Coins,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 SPD
Intelligence,Magic Coins,Magic Coins,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 MAG
Mentality,Magic Coins,Magic Coins,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,120,180,300,480,100,+5 to +25 MEN
